morph	Pop	ID	C_value
A	1	85	1.837755985
A	1	85	1.839170183
A	1	85	1.84027236
A	1	85	1.840837396
A	1	85	1.841525424
A	1	85	1.858427277
A	1	85	1.858615004
A	1	85	1.85877211
A	1	85	1.860699588
A	1	85	1.861419373
A	1	85	1.86326081
A	1	85	1.863586283
A	1	85	1.864756645
A	1	85	1.866662073
A	1	85	1.866993712
A	2	612	1.84132452
A	2	612	1.846006013
A	2	612	1.847462354
A	2	612	1.848040132
A	2	612	1.848309209
A	2	612	1.849188871
A	2	612	1.854307176
A	2	612	1.857282318
A	2	612	1.857370145
A	2	612	1.858955017
A	2	612	1.859170908
A	2	612	1.861987933
A	2	612	1.864576937
A	2	612	1.86531088
A	2	612	1.869035564
A	3	620	1.870883916
A	3	620	1.880434783
A	3	620	1.882297919
A	3	620	1.88693668
A	3	620	1.88824558
A	3	620	1.890369242
A	3	620	1.891044256
A	3	620	1.891483305
A	3	620	1.891765154
A	3	620	1.895679461
A	3	620	1.895786118
A	3	620	1.898369607
A	3	620	1.898923743
A	3	620	1.899726386
A	3	620	1.907398146
A	4	631	1.888301045
A	4	631	1.890676653
A	4	631	1.893927548
A	4	631	1.894006148
A	4	631	1.894640604
A	4	631	1.915647015
A	4	631	1.917969936
A	4	631	1.91837197
A	4	631	1.920164578
A	4	631	1.920657905
A	4	631	1.921436004
A	4	631	1.921642922
A	4	631	1.923216669
A	4	631	1.926105943
A	4	631	1.927181768
A	5	636	1.918321324
A	5	636	1.92319306
A	5	636	1.926099981
A	5	636	1.927064497
A	5	636	1.928891824
A	5	636	1.929851609
A	5	636	1.930022759
A	5	636	1.931295408
A	5	636	1.932876258
A	5	636	1.934572001
A	5	636	1.935505227
A	5	636	1.937131084
A	5	636	1.943684167
A	5	636	1.944863061
A	5	636	1.946924645
A	6	648	1.934579439
A	6	648	1.937537126
A	6	648	1.942293645
A	6	648	1.94533836
A	6	648	1.947152433
A	6	648	1.95173843
A	6	648	1.951765245
A	6	648	1.952601633
A	6	648	1.953102751
A	6	648	1.954578991
A	6	648	1.95458724
A	6	648	1.955909426
A	6	648	1.956005683
A	6	648	1.956764231
A	6	648	1.957717286
A	7	660	1.923096925
A	7	660	1.926101036
A	7	660	1.926602543
A	7	660	1.927916206
A	7	660	1.928864223
A	7	660	1.930599269
A	7	660	1.931290917
A	7	660	1.931877673
A	7	660	1.932354434
A	7	660	1.935354321
A	7	660	1.93596571
A	7	660	1.939000192
A	7	660	1.939052645
A	7	660	1.939620694
A	7	660	1.941373319
A	8	1036	1.838142707
A	8	1036	1.840903075
A	8	1036	1.841877934
A	8	1036	1.842581129
A	8	1036	1.843012053
A	8	1036	1.86585549
A	8	1036	1.867365269
A	8	1036	1.870791067
A	8	1036	1.871303543
A	8	1036	1.872827682
A	8	1036	1.874182823
A	8	1036	1.879442246
A	8	1036	1.879485992
A	8	1036	1.880353133
A	8	1036	1.882397144
A	9	1044	1.843968232
A	9	1044	1.846481291
A	9	1044	1.848357261
A	9	1044	1.850363961
A	9	1044	1.851039023
A	9	1044	1.852291326
A	9	1044	1.852321833
A	9	1044	1.858484745
A	9	1044	1.858621403
A	9	1044	1.858941893
A	9	1044	1.87609451
A	9	1044	1.880722473
A	9	1044	1.881552454
A	9	1044	1.882499827
A	9	1044	1.882557331
B	10	ah5_1	1.884924623
B	10	ah5_3	1.825902935
B	10	ah5_8	1.829194631
B	11	ah6_22	1.799031737
B	11	ah6_4	1.887931034
B	11	ah6_7	1.836660929
B	12	m24_10	1.861636971
B	12	m24_15	1.871277189
B	12	m24_4	1.901443642
B	12	m24_9	1.927190503
B	13	m30_17	1.866213922
B	13	m30_4	1.757049892
B	13	m30_7	1.766406685
B	13	m30_3	1.521601382
B	13	m30_6	1.682719547
B	14	m32_19	1.752996152
B	14	m32_3	1.786764706
B	14	m32_1	1.771797691
B	15	m34_1	1.752501374
B	15	m34_18	1.771797691
B	15	m34_7	1.840747029
B	15	m34_21	1.825714286
C	16	ph1_2013_5	2.104709576
C	16	ph1_2013_6	2.099529042
C	17	ph1_2015_5	2.029971671
C	17	ph1_2015_3	1.892321219
C	17	ph1_2015_2	1.982521008
C	17	ph1_2015_4	1.906278802
C	18	ph4_2015_9	2.180261011
C	19	D_5	2.149185851
C	20	ph8_1_tomato	2.001141925
C	20	ph8_10_tomato	1.945275591
C	20	ph8_13_tomato	1.980385852
C	20	ph8_17_tomato	2.100941915
C	20	ph8_6_tomato	2.00982191
C	21	ph2_2015_2	1.874216603
C	21	ph2_2015_4	1.819296317
